SCHOOL NAME,Num of AP Test Takers,Num of AP Total Exams Taken,Num of AP Exams Passed,Exam Pass rate
MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,48,74,43,0.581
RICHARD R. GREEN HIGH SCHOOL OF TEACHING,57,91,15,0.165
HARVEY MILK HIGH SCHOOL,0,0,0,N/A
THE HIGH SCHOOL OF FASHION INDUSTRIES,92,108,43,0.398
HUMANITIES PREPARATORY ACADEMY,0,0,0,N/A
CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,68,134,27,0.201
NORMAN THOMAS HIGH SCHOOL,0,0,0,N/A
HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,86,98,0,0.0
ART AND DESIGN HIGH SCHOOL,166,201,74,0.368
LIFE SCIENCES SECONDARY SCHOOL,47,77,13,0.169
MANHATTAN THEATRE LAB HIGH SCHOOL,18,18,0,0.0
"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",6,6,0,0.0
"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",0,0,0,N/A
THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,0,0,0,N/A
THE GLOBAL LEARNING COLLABORATIVE,30,30,21,0.7
INNOVATION DIPLOMA PLUS,0,0,0,N/A
WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,55,56,0,0.0
FRANK MCCOURT HIGH SCHOOL,0,0,0,N/A
LOUIS D. BRANDEIS HIGH SCHOOL,21,48,0,0.0
BEACON HIGH SCHOOL,151,187,134,0.717
FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,923,1576,1177,0.747
"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",67,78,27,0.346
HIGH SCHOOL OF ARTS AND TECHNOLOGY,0,0,0,N/A
EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,0,0,0,N/A
MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,0,0,0,N/A
YOUNG ADULT BOROUGH CENTER AT LOUIS D. BRANDEIS HS,0,0,0,N/A
FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,15,15,0,0.0
COALITION SCHOOL FOR SOCIAL CHANGE,12,12,0,0.0
MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,311,423,263,0.622
PARK EAST HIGH SCHOOL,0,0,0,N/A
CENTRAL PARK EAST HIGH SCHOOL,51,82,30,0.366
YOUNG WOMEN'S LEADERSHIP SCHOOL,47,60,32,0.533
ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL,0,0,0,N/A
"HERITAGE SCHOOL, THE",14,14,0,0.0
HARLEM RENAISSANCE HIGH SCHOOL,0,0,0,N/A
MOTT HALL HIGH SCHOOL,0,0,0,N/A
"COLUMBIA SECONDARY SCHOOL FOR MATH, SCIENCE, AND ENGINEERING",14,16,15,0.938
ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,21,33,0,0.0
URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,0,0,0,N/A
CHOIR ACADEMY OF HARLEM,15,15,0,0.0
FREDERICK DOUGLASS ACADEMY,167,202,121,0.599
THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,40,40,7,0.175
BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,0,0,0,N/A
"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",196,245,202,0.824
CITY COLLEGE ACADEMY OF THE ARTS,0,0,0,N/A
COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,38,61,6,0.098
WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,107,124,46,0.371
HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,0,0,0,N/A
GEORGE WASHINGTON YABC,0,0,0,N/A
HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE,17,18,0,0.0
HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,24,38,0,0.0
HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,114,153,56,0.366
HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,51,51,23,0.451
A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,159,296,110,0.372
GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,113,134,98,0.731
SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,17,20,8,0.4
CROTONA ACADEMY HIGH SCHOOL,0,0,0,N/A
INTERNATIONAL COMMUNITY HIGH SCHOOL,0,0,0,N/A
JILL CHAIFETZ TRANSFER HIGH SCHOOL,0,0,0,N/A
BRONX HAVEN HIGH SCHOOL,0,0,0,N/A
COMMUNITY SCHOOL FOR SOCIAL JUSTICE,0,0,0,N/A
MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,16,16,0,0.0
UNIVERSITY HEIGHTS SECONDARY SCHOOL,0,0,0,N/A
HOSTOS0LINCOLN ACADEMY OF SCIENCE,23,42,15,0.357
FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,24,35,0,0.0
BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,7,7,0,0.0
NEW EXPLORERS HIGH SCHOOL,0,0,0,N/A
URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,27,31,0,0.0
BRONX ACADEMY OF LETTERS,59,85,36,0.424
ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,0,0,0,N/A
SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,0,0,0,N/A
HEALTH OPPORTUNITIES HIGH SCHOOL,34,34,13,0.382
BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,0,0,0,N/A
WOMEN'S ACADEMY OF EXCELLENCE,0,0,0,N/A
RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY,70,91,36,0.396
GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY,12,12,0,0.0
PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES,0,0,0,N/A
MILLENNIUM ART ACADEMY,66,68,11,0.162
HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,18,24,0,0.0
"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",0,0,0,N/A
"ANTONIA PANTOJA PREPARATORY ACADEMY, A COLLEGE BOARD SCHOOL",0,0,0,N/A
BRONX COMMUNITY HIGH SCHOOL,0,0,0,N/A
HERBERT H. LEHMAN HIGH SCHOOL,316,395,209,0.529
HERBERT H. LEHMAN YABC,0,0,0,N/A
BRONX BRIDGES HIGH SCHOOL,11,11,0,0.0
BRONX GUILD,0,0,0,N/A
STEVENSON YABC,0,0,0,N/A
"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE",32,38,0,0.0
BANANA KELLY HIGH SCHOOL,0,0,0,N/A
BRONX ARENA HIGH SCHOOL,0,0,0,N/A
SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,0,0,0,N/A
HIGH SCHOOL X560 0 BRONX ACADEMY HIGH SCHOOL,0,0,0,N/A
JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,0,0,0,N/A
BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,0,0,0,N/A
EAGLE ACADEMY FOR YOUNG MEN,51,71,11,0.155
"URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE",0,0,0,N/A
"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",16,16,12,0.75
EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,55,62,15,0.242
MOTT HALL BRONX HIGH SCHOOL,0,0,0,N/A
BRONX CENTER FOR SCIENCE AND MATHEMATICS,82,101,49,0.485
VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,0,0,0,N/A
LEADERSHIP INSTITUTE,0,0,0,N/A
MORRIS ACADEMY FOR COLLABORATIVE STUDIES,0,0,0,N/A
BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,0,0,0,N/A
DREAMYARD PREPARATORY SCHOOL,21,21,7,0.333
ACADEMY FOR LANGUAGE AND TECHNOLOGY,18,20,0,0.0
BRONX INTERNATIONAL HIGH SCHOOL,0,0,0,N/A
SCHOOL FOR EXCELLENCE,0,0,0,N/A
BRONX HIGH SCHOOL OF BUSINESS,27,27,6,0.222
BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,16,16,0,0.0
JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,23,31,0,0.0
"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",42,74,14,0.189
FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,18,18,12,0.667
BRONX LEADERSHIP ACADEMY HIGH SCHOOL,18,18,7,0.389
HIGH SCHOOL FOR VIOLIN AND DANCE,0,0,0,N/A
RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),123,165,103,0.624
BRONX ENGINEERING AND TECHNOLOGY ACADEMY,113,173,15,0.087
THEATRE ARTS PRODUCTION COMPANY SCHOOL,17,17,0,0.0
"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",22,22,0,0.0
WEST BRONX ACADEMY FOR THE FUTURE,77,111,14,0.126
KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,30,30,0,0.0
BRONX SCHOOL OF LAW AND FINANCE,15,20,0,0.0
PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH SCHOOL,0,0,0,N/A
INTERNATIONAL SCHOOL FOR LIBERAL ARTS,90,94,74,0.787
IN0TECH ACADEMY (M.S. / HIGH SCHOOL 368),70,89,17,0.191
KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),0,0,0,N/A
ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),0,0,0,N/A
HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,62,82,21,0.256
BELMONT PREPARATORY HIGH SCHOOL,54,65,9,0.138
FORDHAM HIGH SCHOOL FOR THE ARTS,0,0,0,N/A
FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,0,0,0,N/A
BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,26,26,9,0.346
DEWITT CLINTON HIGH SCHOOL,380,551,314,0.57
"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",30,42,11,0.262
BRONX HIGH SCHOOL OF SCIENCE,1598,3480,2986,0.858
JOHN F. KENNEDY HIGH SCHOOL,36,36,11,0.306
MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,89,168,45,0.268
LEARNING TO WORK GED AT JOHN F. KENNEDY,0,0,0,N/A
BRONX THEATRE HIGH SCHOOL,55,65,8,0.123
DISCOVERY HIGH SCHOOL,54,62,8,0.129
GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,18,23,9,0.391
GRACE DODGE YABC,0,0,0,N/A
HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,253,375,320,0.853
BRONX HEALTH SCIENCES HIGH SCHOOL,0,0,0,N/A
BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,18,23,0,0.0
BRONX LAB SCHOOL,0,0,0,N/A
ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,26,31,0,0.0
HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,57,86,0,0.0
COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,95,134,35,0.261
BRONX ACADEMY OF HEALTH CAREERS,25,25,0,0.0
ASTOR COLLEGIATE ACADEMY,0,0,0,N/A
CHRISTOPHER COLUMBUS HIGH SCHOOL,23,25,0,0.0
YOUNG ADULT BOROUGH CNTR CHRISTOPHER COLUMBUS HS,0,0,0,N/A
BRONX HIGH SCHOOL FOR THE VISUAL ARTS,38,48,7,0.146
HARRY S TRUMAN HIGH SCHOOL,97,136,23,0.169
LEARNING TO WORK YABC AT TRUMAN HIGH SCHOOL,0,0,0,N/A
NEW WORLD HIGH SCHOOL,22,22,18,0.818
THE BRONXWOOD PREPARATORY ACADEMY,28,28,0,0.0
GLOBAL ENTERPRISE HIGH SCHOOL,0,0,0,N/A
PELHAM PREPARATORY ACADEMY,43,48,13,0.271
HIGH SCHOOL FOR CONTEMPORARY ARTS,0,0,0,N/A
BRONX AEROSPACE HIGH SCHOOL,10,14,0,0.0
NEW DAY ACADEMY,0,0,0,N/A
"METROPOLITAN HIGH SCHOOL, THE",20,20,18,0.9
EXPLORATIONS ACADEMY,60,85,24,0.282
PERFORMANCE CONSERVATORY HIGH SCHOOL,0,0,0,N/A
BRONX LATIN,43,43,0,0.0
EAST BRONX ACADEMY FOR THE FUTURE,69,130,0,0.0
PEACE AND DIVERSITY ACADEMY,0,0,0,N/A
PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,18,18,9,0.5
LEARNING TO WORK YABC AT MONROE ACADEMY,0,0,0,N/A
ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,0,0,0,N/A
THE CINEMA SCHOOL,85,196,15,0.077
BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,0,0,0,N/A
BRONX REGIONAL HIGH SCHOOL,0,0,0,N/A
HIGH SCHOOL OF WORLD CULTURES,19,22,8,0.364
FANNIE LOU HAMER FREEDOM HIGH SCHOOL,35,35,9,0.257
WINGS ACADEMY,27,36,8,0.222
MONROE ACADEMY FOR BUSINESS/LAW,9,9,0,0.0
MONROE ACADEMY FOR VISUAL ARTS & DESIGN,0,0,0,N/A
DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,13,19,0,0.0
ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,0,0,0,N/A
URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,0,0,0,N/A
"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",15,15,0,0.0
"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",81,96,7,0.073
BROOKLYN TECHNICAL HIGH SCHOOL,2516,4427,3333,0.753
BROOKLYN INTERNATIONAL HIGH SCHOOL,0,0,0,N/A
THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,34,53,36,0.679
ACORN COMMUNITY HIGH SCHOOL,37,47,0,0.0
FREEDOM ACADEMY HIGH SCHOOL,0,0,0,N/A
URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,0,0,0,N/A
BROOKLYN ACADEMY HIGH SCHOOL,0,0,0,N/A
BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,0,0,0,N/A
BEDFORD ACADEMY HIGH SCHOOL,124,152,26,0.171
GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,28,31,9,0.29
BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE,0,0,0,N/A
BENJAMIN BANNEKER ACADEMY,146,203,82,0.404
"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",0,0,0,N/A
JUAN MOREL CAMPOS SECONDARY SCHOOL,14,14,12,0.857
FOUNDATIONS ACADEMY,0,0,0,N/A
ACADEMY FOR YOUNG WRITERS,23,23,9,0.391
"BROOKLYN LATIN SCHOOL, THE",0,0,0,N/A
GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,0,0,0,N/A
PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,36,50,0,0.0
SCHOOL FOR LEGAL STUDIES,53,68,10,0.147
"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",75,96,37,0.385
BROOKLYN PREPARATORY HIGH SCHOOL,49,62,0,0.0
WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,32,46,9,0.196
WILLIAMSBURG PREPARATORY SCHOOL,54,61,28,0.459
LYONS COMMUNITY SCHOOL,0,0,0,N/A
AUTOMOTIVE HIGH SCHOOL,0,0,0,N/A
FRANCES PERKINS ACADEMY,0,0,0,N/A
EL PUENTE ACADEMY FOR PEACE AND JUSTICE,0,0,0,N/A
AUTOMOTIVE HIGH SCHOOL YABC,0,0,0,N/A
BROOKLYN SCHOOL FOR GLOBAL STUDIES,18,19,0,0.0
BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,0,0,0,N/A
SECONDARY SCHOOL FOR LAW,35,50,19,0.38
SECONDARY SCHOOL FOR JOURNALISM,9,9,0,0.0
PARK SLOPE COLLEGIATE,0,0,0,N/A
SCHOOL FOR INTERNATIONAL STUDIES,26,27,0,0.0
COBBLE HILL SCHOOL OF AMERICAN STUDIES,64,72,0,0.0
PACIFIC HIGH SCHOOL,0,0,0,N/A
WEST BROOKLYN COMMUNITY HIGH SCHOOL,0,0,0,N/A
METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,0,0,0,N/A
BROOKLYN HIGH SCHOOL OF THE ARTS,44,61,22,0.361
SUNSET PARK HIGH SCHOOL,0,0,0,N/A
SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,0,0,0,N/A
FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,0,0,0,N/A
BOYS AND GIRLS HIGH SCHOOL,0,0,0,N/A
BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,47,63,0,0.0
GOTHAM PROFESSIONAL ARTS ACADEMY,0,0,0,N/A
THE BROOKLYN ACADEMY OF GLOBAL FINANCE,0,0,0,N/A
ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,29,36,8,0.222
ACADEMY OF HOSPITALITY AND TOURISM,33,33,0,0.0
ERASMUS YABC,0,0,0,N/A
W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,0,0,0,N/A
INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,0,0,0,N/A
THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,0,0,0,N/A
"SCHOOL FOR HUMAN RIGHTS, THE",7,7,0,0.0
SCHOOL FOR DEMOCRACY AND LEADERSHIP,0,0,0,N/A
HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,11,11,0,0.0
HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,0,0,0,N/A
"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",24,24,0,0.0
INTERNATIONAL ARTS BUSINESS SCHOOL,0,0,0,N/A
HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,86,115,10,0.087
BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,38,60,0,0.0
BROOKLYN SCHOOL FOR MUSIC & THEATRE,0,0,0,N/A
BROWNSVILLE ACADEMY HIGH SCHOOL,0,0,0,N/A
MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,343,588,156,0.265
CLARA BARTON HIGH SCHOOL,128,195,56,0.287
PAUL ROBESON HIGH SCHOOL,0,0,0,N/A
ACADEMY FOR HEALTH CAREERS,0,0,0,N/A
IT TAKES A VILLAGE ACADEMY,19,23,0,0.0
BROOKLYN GENERATION SCHOOL,0,0,0,N/A
BROOKLYN THEATRE ARTS HIGH SCHOOL,0,0,0,N/A
KURT HAHN EXPEDITIONARY LEARNING SCHOOL,0,0,0,N/A
VICTORY COLLEGIATE HIGH SCHOOL,11,21,0,0.0
BROOKLYN BRIDGE ACADEMY,0,0,0,N/A
ARTS & MEDIA PREPARATORY ACADEMY,0,0,0,N/A
HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,0,0,0,N/A
CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,6,6,0,0.0
HIGH SCHOOL FOR MEDICAL PROFESSIONS,59,62,6,0.097
OLYMPUS ACADEMY,0,0,0,N/A
ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,0,0,0,N/A
URBAN ACTION ACADEMY,21,21,0,0.0
EAST BROOKLYN COMMUNITY HIGH SCHOOL,0,0,0,N/A
EAST NEW YORK FAMILY ACADEMY,10,10,0,0.0
FRANKLIN K. LANE HIGH SCHOOL,0,0,0,N/A
THOMAS JEFFERSON YABC,0,0,0,N/A
FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,0,0,0,N/A
HIGH SCHOOL FOR CIVIL RIGHTS,8,10,0,0.0
PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,0,0,0,N/A
WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,8,8,0,0.0
MULTICULTURAL HIGH SCHOOL,9,9,0,0.0
TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,64,71,6,0.085
ACADEMY OF INNOVATIVE TECHNOLOGY,19,19,0,0.0
BROOKLYN LAB SCHOOL,0,0,0,N/A
CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,7,7,0,0.0
W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,0,0,0,N/A
"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",24,29,0,0.0
NEW UTRECHT HIGH SCHOOL,264,362,155,0.428
HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,132,146,63,0.432
FORT HAMILTON HIGH SCHOOL,435,705,414,0.587
FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,216,308,173,0.562
THE URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,0,0,0,N/A
FRANKLIN DELANO ROOSEVELT YABC,0,0,0,N/A
INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,0,0,0,N/A
RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,55,71,6,0.085
HIGH SCHOOL OF SPORTS MANAGEMENT,0,0,0,N/A
ABRAHAM LINCOLN HIGH SCHOOL,121,149,79,0.53
ABRAHAM LINCOLN YABC/LEARNING TO WORK GED AT ABRAHAM LINCOLN,0,0,0,N/A
KINGSBOROUGH EARLY COLLEGE SCHOOL,0,0,0,N/A
EDWARD R. MURROW HIGH SCHOOL,457,690,406,0.588
JOHN DEWEY HIGH SCHOOL,278,511,253,0.495
LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,0,0,0,N/A
